media	mediaws	growth	geneko	addtlCpd										
Nitrogen-Uric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Uridine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-Xanthine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Alanine	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-6-Phospho-Gluconic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Adenosine-2-3-Cyclic-Monophosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Carbamyl-Phosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Cytidine-2-Monophosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Cytidine-3-Monophosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-D-L-a-Glycerol-Phosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-D-2-Phospho-Glyceric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-D-Glucosamine-6-Phosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-D-Glucose-1-Phosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-D-Glucose-6-Phosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Phosphoenol-Pyruvate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Phospho-Glycolic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Pyrophosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Trimetaphosphate	excalibur0:narrative_1547442516441	1	none	none										
Phosphate-Tripolyphosphatete	excalibur0:narrative_1547442516441	1	none	none										
